"Title","Original Author","Type","Uniform Title","Translation Title","Full Translation Title","Series/Journal","Publication Year","Place of Publication","Publisher","Pagination","Princeton Call Number","URL","Edition","Notes","Translator","Original Language","ISBN","Translation Language","Genre","Century","Additional Information"
"Timarion","Timarion","Book","","Timarion : translated with introduction and commentary by Barry Baldwin","Timarion : translated with introduction and commentary by Barry Baldwin","Byzantine texts in translation","1984","Detroit","Wayne State University Press","ix, 161","","","","Includes index. Bibliography: p. 141-152.
","Baldwin, Barry","Greek","814317715","English","Satire","12th",""
"Treatise on prayer ","Symeon, Archbishop of Thessalonike, 15th cent.","Book","Peri tōn hierōn teletōn kai theiōn mystēriōn tēs Ekklēsias","Treatise on prayer ","Treatise on prayer : an explanation of the services conducted in the Orthodox Church Symeon of Thessalonike, translated by H.L.N. Simmons","The Archbishop Iakovos library of ecclesiastical and historical sources 9","1984","Brookline, Mass.","Hellenic College Press","xi, 104","","","","Translation of: Peri tōn hierōn teletōn kai theiōn mystēriōn tēs Ekklēsias. Includes index.
","Simmons, H.L.N.","Greek","917653068 | 091765305X","English","Theology","15th",""
"Cento epistole a Manuele II Paleologo","Chrysolōras, Dēmētrios|Manuel II Palaeologus, Emperor of the East, 1350-1425","Book","Eis ton ontōs autokratora kyrin Manouēl ton Palaiologon Dēmētriou tou Chrysolōra epistolai hekaton eph' heni pragmati","Cento epistole a Manuele II Paleologo","Cento epistole a Manuele II Paleologo","Speculum","1984","Napoli","","110","","","","Demetrio Crisolora ; testo critico, introduzione, traduzione e commentario a cura di Ferruccio Conti Bizzarro. Greek and Italian.
","Conti Bizzarro, Ferruccio","Greek","","Italian","Letters","14th|15th",""
"Cronache catalane del secolo XIII e XIV Raimondo Muntaner, Bernardo D'Esclot ","Muntaner, Ramón, d. 1336","Book","Crónica","Cronache catalane del secolo XIII e XIV Raimondo Muntaner, Bernardo D'Esclot ","Cronache catalane del secolo XIII e XIV Raimondo Muntaner, Bernardo D'Esclot : traduzione de Filippo Moisè, introduzione de Leonardo Sciascia","","1984","Palermo","Sellerio editore","xi, 677 , [8] of plates","","","","Translation from Catalan. Includes bibliographical references.
","Desclot, Bernat.","Catalan","","Italian","History","14th",""
"Discorsi ai giovani = Oratio ad adolescentes","Basil, Saint, Bishop of Caesarea, ca. 329-379","Book","Address to young men","Discorsi ai giovani = Oratio ad adolescentes","Discorsi ai giovani = Oratio ad adolescentes","Biblioteca patristica 3","1984","Firenze","Nardini editore","282","","","","Basilio di Cesarea ; con la versione latina di Leonardo Bruni ; a cura di Mario Naldini. Nardini editore : Centro internazionale del Libro. Translation of: Pros tous neous hopōs an ex Hellēnikōn ophelointo logon. Includes indexes. Greek text with Italian translation on facing pages, and Latin version following ; introductory matter, commentary, and notes in Italian. Bibliography: p. 249-256.
","Bruni, Leonardo|Naldini, Mario","Greek|Latin","","Italian","Speeches|Education","4th",""
"Imperatori di Bisanzio ","Psellus, Michael","Book","Chronographia","Imperatori di Bisanzio ","Imperatori di Bisanzio : (cronografia)","Scrittori greci e latini","1984","[Milan]","Fondazione L. Valla : A. Mondadori","","","","1a","geneal. tables, map ; 21 cm. v. 1. Libri I-VI 75 -- v. 2. Libri VI 76-VII. Includes bibliographical references (v. 1, p. [325]-333) and index. Michele Psello ; introduzione di Dario Del Corno ; testo critico a cura di Salvatore Impellizzeri ; commento di Ugo Criscuolo ; traduzione di Silvia Ronchey.
","Del Corno, Dario|Impellizzeri, Salvatore|Criscuolo, Ugo","Greek","","Italian","History","11th",""
"La vita di Mosè","Gregory, of Nyssa, Saint, ca. 335-ca. 394","Book","De vita Moysis","La vita di Mosè","La vita di Mosè","Scrittori greci e latini","1984","Milano","","355","","","1a ed.","Gregorio di Nissa ; a cura di Manlio Simonetti. Greek text and Italian translation of: De vita Moysis.
","Simonetti, Manlio","Greek","","Italian","Saints lives","4th",""
"Sulla vita di Costantino ","Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340|Constantine I, Emperor of Rome, d. 337","Book","Life of Constantine","Sulla vita di Costantino ","Sulla vita di Costantino : introduzione, traduzione e note a cura di Luigi Tartaglia","Quaderni di Koinōnia 8","1984","Napoli","M. D'Auria","215","","","","At head of title: Associazione di studi tardoantichi. Includes index. Bibliography: p. [5]-6. Princeton copy is from the library of Mario Vitti.
","Tartaglia, Luigi","Greek","","Italian","Saints lives","4th",""
"Vita di Antonio","Athanasius, Saint, Patriarch of Alexandria, d. 373|Anthony, of Egypt, Saint, ca. 250-355 or 6","Book","Life of St. Antony","Vita di Antonio","Vita di Antonio","Letture cristiane delle origini. Testi","1984","Roma","Edizioni paoline","263","","","","20 cm.; Includes bibliographical references and indexes.; S. Atanasio. Apoftegmi ; Lettere / [Antonio] ; introduzione, traduzione e note a cura di Lisa Cremaschi.; Book
","Cremaschi, Lisa","Greek","8821507807 | 9788821507809","Italian","Saints lives","4th",""
"Histoire ecclésiastique","Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340","Book","Ecclesiastical history","Histoire ecclésiastique","Histoire ecclésiastique","Sources chrétiennes 31, ","1984","Paris","Cerf","v. ","","","Ed. rev.","20 cm. t. 1. Livres I-IV (1952, 1964, 1986) -- t. 2. Livres V-VII (1955, 1965, 1983, 1994) -- t. 3. Livres VIII-X (1958, 1967, 1984, 1993) -- t. 4. Introduction et Tables (1960, 1971, 1987) Includes bibliographical references. Eusèbe de Césarée ; texte grec, traduction et notes par Gustave Bardy.
","Bardy, Gustave","Greek","2204067512 | 9782204067515 | 2204022373 | 9782204022378","French","Church history","3rd|4th",""
"Le typikon du Sébaste Grégoire Pakourianos","","Journal Article","","Le typikon du Sébaste Grégoire Pakourianos","Le typikon du Sébaste Grégoire Pakourianos","Revue des études byzantines 42, 5-145","1984","","","","","","","","Gautier, Paul","Greek","","French","Monasticism","11th",""
"Relations historiques","Pachymeres, George, 1242-ca. 1310  ca","Book","Rōmaikē historia","Relations historiques","Relations historiques","Corpus fontium historiae Byzantinae 24. Series Parisiensis","1984","Paris","Belles Lettres","v.","","","","Georges Pachymérès ; édition, introduction et notes par Albert Failler ; traduction française par Vitalien Laurent. Belles Lettres. Greek text, parallel French translation of: Rōmaikē historia. Publisher varies. Bibliography: v. 1, p. xii-xix.
","Failler, Albert","Greek","2251322302","French","History","13th|14th",""
"Tafsīr li-Sifr al-Khurūj mansūb ilá al-Qiddīs Afrām al-Suryānī ","Ephraem, Syrus, 303-373","Book","","Tafsīr li-Sifr al-Khurūj mansūb ilá al-Qiddīs Afrām al-Suryānī ","Tafsīr li-Sifr al-Khurūj mansūb ilá al-Qiddīs Afrām al-Suryānī : fī al-makhṭūṭ al-Mārūnī al-Fātīkānī al-Suryānī 216 qaddama la-hu wa-nasharahu Yūḥannā Tābit","Manshūrāt Qism al-Lītūrjiyā fī Jāmiʻat al-Rūḥ al-Qudus, 2","1983","al-Kaslīk, Lubnān","Jāmiʻat al-Rūḥ al-Qudus","21, 251","","","","Commentary translated from Syriac; text of Exodus in Arabic included. Includes bibliographical references.
","Tābat, Yūḥannā","Syriac","","Arabic","Biblical commentaries","4th",""
"Dogmatika erga","Philotheos Kokkinos, Patriarch of Constantinople, 1300-1379","Book","","Dogmatika erga","Dogmatika erga","Thessalonikeis vyzantinoi syngrapheis 3","1983","Thessalonikē","Kentron Vyzantinōn Ereunōn","623p","","","","25cm. [epimeleia] Dēmētriou V.Kaïmakē. Meros 1.
","Kaïmakēs Dēmētrios V.","Greek","","Greek (Modern)","Theology","14th",""
"Byzanz wieder ein Weltreich ","Scylitzes, John, fl. 1081","Book","Synopsis historiōn","Byzanz wieder ein Weltreich ","Byzanz wieder ein Weltreich : das Zeitalter der Makedonischen Dynastie nach dem Geschichtswerk des Johannes Skylitzes, übersetzt, eingeleitet und erklärt von Hans Thurn","Byzantinische Geschichtsschreiber 15","1983","Graz","Styria","v.","","","","Includes bibliographical references.
","Thurn, Hans Peter","Greek","3222102937","German","History","11th",""
"Ecloga, das Gesetzbuch Leons III und Konstantinos' V","","Book","Ecloga","Ecloga, das Gesetzbuch Leons III und Konstantinos' V","Ecloga, das Gesetzbuch Leons III und Konstantinos' V","Forschungen zur byzantinischen Rechtsgeschichte 10","1983","Frankfurt am Main","Löwenklau-Gesellschaft","xvii, 282","","","","herausgegeben von Ludwig Burgmann. Löwenklau-Gesellschaft. Chiefly commentary (p. [1]-151); text of the Ecloga in Greek and German translation: p. 153-245. Includes index. Bibliography: p. [xiii]-xvii.
","Burgmann, Ludwig","Greek","3923615035","German","Law","8th",""
"Vier Prooimien zu Kaiserurkunden","Demetrius Cydones, ca. 1324-ca. 1398","Journal Article","","Vier Prooimien zu Kaiserurkunden : verfasst von Demetrios Kydones. Edition, Textparaphrase und Kommentar","Vier Prooimien zu Kaiserurkunden : verfasst von Demetrios Kydones. Edition, Textparaphrase und Kommentar","Byzantinoslavica 44, 13-30 & 178-195","1983","","","","","","","","Tinnefeld, Franz Hermann","Greek","","German","Politics and government","14th",""
"An early Byzantine formula for the renunciation of Manichaeism ","Zacharias, Bishop of Mytilene","Journal Article","","An early Byzantine formula for the renunciation of Manichaeism ","An early Byzantine formula for the renunciation of Manichaeism : the Capita VII contra Manichaeos of ""Zacharias of Mitylene"". Introduction, text, translation and commentary","Jahrbuch für Antike und Christentum 26, 152-218","1983","","","","","","","","Lieu, Samuel N. C.","Greek","","English","Theology","5th|6th",""
"Faith healing in late Byzantium ","Theoktistos, ho Stouditēs|Athanasios I, Patriarch of Constantinople, ca. 1230-ca. 1323","Book","","Faith healing in late Byzantium ","Faith healing in late Byzantium : the posthumous miracles of the Patriarch Athanasios I of Constantinople by Theoktistos the Stoudite, Alice-Mary M. Talbot","The Archbishop Iakovos library of ecclesiastical and historical sources 8","1983","Brookline, Mass.","Hellenic College Press","162","","","","Includes Greek text and English translation of: Logos eis tēn anakomidentou leipsanou tou en Hagiois Patros hēmōn Athanasiou Patriarchou Kōnstantinoupoleōs / Theoktistos the Stoudite. Includes bibliographical references and index.
","Talbot, Alice-Mary","Greek","916586928","English","Saints lives","14th",""
"Letters of Gregory Akindynos","Akindynos, Gregorios, ca. 1300-ca. 1349","Book","Correspondence","Letters of Gregory Akindynos","Letters of Gregory Akindynos","Corpus fontium historiae Byzantinae 21. Dumbarton Oaks texts 7","1983","Washington, D.C.","Dumbarton Oaks Research Library and Collection","xlvii, 465","","","","Greek text and English translation by Angela Constantinides Hero. Dumbarton Oaks Research Library and Collection. Includes bibliographical references and index.
","Hero, Angela Constantinides","Greek","884021076","English","Letters","14th",""
"On powers, or, The magistracies of the Roman state","Lydus, Johannes Laurentius, 490-ca. 565","Book","De magistratibus populi Romani libri tres","On powers, or, The magistracies of the Roman state","On powers, or, The magistracies of the Roman state : introduction, critical text, translation, commentary, and indices by Anastasius C. Bandy","Memoirs of the American Philosophical Society 149","1983","Philadelphia","American Philosophical Society","lxxiv, 446 p.","","","","","Bandy, Anastasius C.","Greek","0871691493","English","Politics and government","6th",""
"On virginity ","John Chrysostom, Saint, d. 407","Book","De virginitate","On virginity ","On virginity : Against remarriage, introduction by Elizabeth A. Clark, translation by Sally Rieger Shore","Studies in women and religion 9","1983","Lewiston, N.Y.","E. Mellen Press","xlii, 157","","","","Translation of: On virginity and Against remarriage. Includes bibliographical references.
","Clark, Elizabeth A.|Shore, Sally Rieger","Greek","889465436","English","Theology","4th|5th",""
"The life of Samuel of Kalamun by Isaac the Presbyter ","Isaac, the Presbyter|Samuel, Abbot of Kalamun, ca. 597-ca. 695","Book","","The life of Samuel of Kalamun by Isaac the Presbyter ","The life of Samuel of Kalamun by Isaac the Presbyter : edited and translated by Anthony Alcock","","1983","Warminster, England","Aris & Phillips Ltd.","xi, 139, [1]","","","","Text in Coptic, with English translation. Includes bibliographical references and indexes. Bibliography: p. 138-[140]
","Alcock, Anthony","Coptic","856682195","English","Monasticism|Saints lives","7th|8th",""
"The Philogelos, or, Laughter-lover","Hierocles, Grammarian","Book","Philogelos","The Philogelos, or, Laughter-lover","The Philogelos, or, Laughter-lover : translated with an introduction and commentary by Barry Baldwin","London studies in classical philology 10","1983","Amsterdam","J.C. Gieben","xii, 134 p.","","","","","Baldwin, Barry","Greek","9070265451","English","Humor","4th|5th",""
"The triads","Gregory Palamas, Saint, 1296-1359","Edited Book","Apology for the Holy Hesychasts ","The triads","The triads","The Classics of Western spirituality","1983","New York","Paulist Press","xiii, 172","","","","Gregory Palamas ; edited, with an introduction by John Meyendorff ; translation by Nicholas Gendle ; preface by Jaroslav Pelikan. Paulist Press. Meyendorff, John.
","Meyendorff, John","Greek","809124475 | 809103281","English","Theology","14th",""
"Orazione in memoria di Costantino Lichudi ","Psellus, Michael","Book","Enkōmion eis Kōnstantinon Leichoudēn","Orazione in memoria di Costantino Lichudi ","Orazione in memoria di Costantino Lichudi : introduzione, traduzione, commento e appendici","Letteratura e civiltà bizantina","1983","Messina","Edizioni Dott. Antonino Sfameni","212","","","","24 cm. Introduzione -- Encomio di Michele Psello per il beatissimo signor Costantino Lichudi, patriarca di Costantinopoli -- Commento -- Appendici : Per il testo dell'Encomio. L'Impero bizantino negli anni di Psello e Lichudi./ Includes indexes./ Includes bibliographical references (p. xv-xvi). Michele Psello ; a cura di Ugo Criscuolo.
","Criscuolo, Ugo","Greek","","Italian","Speeches","11th",""
"Progimnasmi e Monodie Niceforo Basilace ","Nikēphoros, ho Vasilakēs, 12th cent.","Book","Progymnasmata","Progimnasmi e Monodie Niceforo Basilace ","Progimnasmi e Monodie Niceforo Basilace : testo critico, introduzione, traduzione a cura di Adriana Pignani","Byzantina et neo-hellenica neapolitana, 10","1983","Napoli","Bibliopolis","408","","","","Includes indexes. Bibliography: p. [7]-11.
","Pignani, Adriana","Greek","8870880907","Italian","Rhetoric|Poems","12th",""
"Vita di S. Stefano Sabaita (725-794)","Leontius, of Damascus, 8th/9th cent.|Stephen, of Saba, Saint, 725-794","Book","","Vita di S. Stefano Sabaita (725-794)","Vita di S. Stefano Sabaita (725-794)","Quaderni de ""La Terra Santa""","1983","Jerusalem","Franciscan Printing Press","162 p.","","","","ill., maps, plans ; 24 cm. ""Presentazione"" signed: Claudio Baratto./ Includes bibliographical references and index. Leonzio di Damasco ; traduzione di Camillo Carta ; introduzione e note di Bellarmino Bagatti. More Records: Show record information Book
","Bagatti, Bellarmino|Carta, Camillo","Greek","","Italian","Saints lives","8th",""
"Calcul de l'éclipse de soleil du 16 juillet 1330 Nicéphore Grégoras ","Gregoras, Nicephorus, 1295-1359 or 60","Book","Ekthesis psēphophorias ekleipseōs hēliou","Calcul de l'éclipse de soleil du 16 juillet 1330 Nicéphore Grégoras ","Calcul de l'éclipse de soleil du 16 juillet 1330 Nicéphore Grégoras : édité par J. Mogenet et al.","Corpus des astronomes byzantins 1","1983","Amsterdam","J.C. Gieben","221","","","","Greek text and French translation of: Ekthesis psēphophorias ekleipseōs hēliou. Includes indexes. Bibliography: p. [211]-217.
","Mogenet, Joseph","Greek","9070265346","French","Astronomy","14th",""
"Hésychius de Jérusalem, Homélies sur Job ","Hesychius, of Jerusalem, d. ca. 450","Book","","Hésychius de Jérusalem, Homélies sur Job ","Hésychius de Jérusalem, Homélies sur Job : version arménienne édition, introduction et notes par Charles Renoux, traduction par Charles Mercier et Charles Renoux","Patrologia orientalis, 42:1-2","1983","Turnhout","Brepols","v.","","","","Texts in Armenian and French on opposite pages.
","Renoux, Charles","Armenian","","French","Sermons","4th|5th",""
"Histoire ecclésiastique. Livres 1-2","Sozomen, ca. 400-ca. 450","Book","","Histoire ecclésiastique. Livres 1-2","Histoire ecclésiastique. Livres 1-2","Sources chrétiennes 306","1983","Paris","Éd. du Cerf","388 s.","","","","texte grec de l'édition J. Bidez ; introd. par Bernard Grillet et Guy Sabbah ; trad. par André-Jean Festugière. Book
","Bidez, Joseph|Grillet, Bernard|Sabbah, Guy","Greek","2204021350 | 9782204021357","French","Church history","5th",""
"Byzantinisches Lesebuch herausgegeben von Hans-Georg Beck","","Book","","Byzantinisches Lesebuch herausgegeben von Hans-Georg Beck","Byzantinisches Lesebuch herausgegeben von Hans-Georg Beck","","1982","München","Beck","412","","","","Includes bibliographical references and index.
","Beck, Hans-Georg","Greek","3406085849","German","Literature|Readers","",""
"Die drei Tage zwischen Tod und Auferstehung unseres Herrn Jesus Christus","Gregory, of Nyssa, Saint, ca. 335-ca. 394","Thesis","De tridui spatio","Die drei Tage zwischen Tod und Auferstehung unseres Herrn Jesus Christus","Die drei Tage zwischen Tod und Auferstehung unseres Herrn Jesus Christus","","1982","Leiden","Brill","x, 252","","","","Gregor von Nyssa ; eingeleitet, übersetzt [aus dem Griechischen] und kommentiert von Hubertus R. Drobner. Brill. Drobner, Hubertus R. Translation of: De tridui spatio. Includes index. Hubertus R. Drobner's thesis (doctoral)--Johannes Gutenberg-Universität Mainz, 1981. Bibliography: p. [208]-235.
","Drobner, Hubertus R.","Greek","","German","Theology","4th",""
"Geschichte","John VI Cantacuzenus, Emperor of the East, 1292-1383","Book","Historia","Geschichte","Geschichte","Bibliothek der griechischen Literatur 17. Abteilung Byzantinistik","1982","Stuttgart","A. Hiersemann","v.","","","","Johannes Kantakuzenos ; übersetzt und erläutert von Georgios Fatouros und Tilman Krischer. Translation of: Historia. Includes bibliographies and indexes.
","Fatouros, Georgios|Krischer, Tilman","Greek","3777282219","German","History","14th",""
"Über die Zeit ","Simplicius, of Cilicia","Book","","Über die Zeit ","Über die Zeit : ein Kommentar zum Corollarium de tempore Erwin Sonderegger","Hypomnemata 70","1982","Göttingen","Vandenhoeck & Ruprecht","197","","","","Ubersetzung des Corollarium de tempore: p. 140-174. Bibliography: p. 9-11.
","Sonderegger, Erwin","Greek","3525251661","German","Philosophy","6th",""
"Chronographia, a chronicle of eighth century Byzantium","Theophanes, the Confessor, d. ca. 818","Book","Chronographia","Chronographia, a chronicle of eighth century Byzantium","Chronographia, a chronicle of eighth century Byzantium","Sources of Isaurian history 1","1982","Gorham, Me.","","vii, 139","","","","Theophanes ; translated by Anthony R. Santoro. Greek, Roman and Byzantine Studies Conference. Translation of: Chronographia.
","Santoro, Anthony R.","Greek","","English","History","8th|9th",""
"Days and deeds of a Hesychast saint ","Romylos, Saint","Journal Article","","Days and deeds of a Hesychast saint ","Days and deeds of a Hesychast saint : A translation of the Greek life of Saint Romylos","Byzantine Studies / Études Byzantines 9:1, 24-47","1982","","","","","","","","Bartusis, Mark|Ben Nasser, Khalifa|Laiou, Angeliki E.","Greek","","English","Saints lives","14th",""
"History of Lewond, the eminent vardapet of the Armenians","Ghewond, Ere'ts', 8th cent.","Book","Patmut'iwn","History of Lewond, the eminent vardapet of the Armenians","History of Lewond, the eminent vardapet of the Armenians : translation, introduction, and commentary by Zaven Arzoumanian = Patmut'iwn Ghewondeay metsi vardapeti Hayots' : t'argmanut'iwn, neratsakan, ew n't'er patrastets' Zaw'n Arzumanian","","1982","Wynnewood, Penn. ","St. Sahag and St. Mesrob Armenian Church","219","","","1st","Translation of: Patmut'iwn. Introd. also in Armenian. Includes index. Bibliography: p. 197-215.
","Arzoumanian, Zaven","Armenian","","English","Armenians|History","8th",""
"Instructions, letters, and other writings of Saint Pachomius and his disciples","Pachomius, Saint","Book","","Instructions, letters, and other writings of Saint Pachomius and his disciples : translated, with an introduction, by Armand Veilleux","Instructions, letters, and other writings of Saint Pachomius and his disciples : translated, with an introduction, by Armand Veilleux","Pachomian koinonia 3. Cistercian studies series 47","1982","Kalamazoo, Mich.","Cistercian Publications","ix, 313","","","","Includes index. Bibliography: p. 299-311.
","Veilleux, Armand","Greek","879078472","English","Saints lives","4th",""
"New history","Zosimus","Book","Historia nova","New history","New history","Byzantina Australiensia 2","1982","Canberra","Australian Association for Byzantine Studies","xv, 263","","","","Zosimus ; a translation with commentary by Ronald T. Ridley. Australian Association for Byzantine Studies. Includes index. Bibliography: p. [233]-235.
","Ridley, Ronald T.","Greek","959362606","English","History","5th|6th",""
"Patriarch Photios of Constantinople ","Photius ca. 820-ca. 891","Book","","Patriarch Photios of Constantinople ","Patriarch Photios of Constantinople : his life, scholarly contributions, and correspondence together with a translation of 52 of his letters","The Archbishop Iakovos Library of ecclesiastical and historical sources 5","1982","Brookline, Mass.","","","","","","","White, Despina Stratoudaki","Greek","","English","Letters","9th",""
"The chronicle of John (c. 690 A. D.), Coptic Bishop of Nikiu ","John, Bishop of Nikiu, 7th cent.","Book","","The chronicle of John (c. 690 A. D.), Coptic Bishop of Nikiu ","The chronicle of John (c. 690 A. D.), Coptic Bishop of Nikiu : being a history of Egypt before and during the Arab conquest","Text and Translation Society series 3","1982","Amsterdam","APA-Philo Press","xii, 216","","","","translated from Hermann Zotenberg's edition of the Ethiopic version with an introduction, critical and linguistic notes, and an index of names [by] Robert Henry Charles. APA-Philo Press.
","Zotenberg, Hermann|Charles, R. H.","Ethiopic","9060223039","English","History","7th",""
"The chronicle of John (c. 690 A.D.)","John, Bishop of Nikiu, 7th cent.","Book","","The chronicle of John (c. 690 A.D.)","The chronicle of John (c. 690 A.D.) : being a history of Egypt before and during the Arab conquest. Translated from Hermann Zotenberg's edition of the Ethiopic version with an introduction, critical and linguistic notes, and an index of names by Robert Henry Charles","Text and Translation Society series 3","1982","Amsterdam","APA-Philo Press","xii, 216","","","","Includes bibliographical references and indexes.
","Charles, R. H.","Coptic","9060223039","English","History","7th",""
"The chronicle of Theophanes ","Theophanes, the Confessor, d. ca. 818","Book","Chronographia","The chronicle of Theophanes ","The chronicle of Theophanes : an English translation of anni mundi 6095-6305 (A. D. 602-813)","The Middle Ages","1982","Philadelphia","University of Pennsylvania Press","xxiv, 201","","","","with introduction and notes by Harry Turtledove. University of Pennsylvania Press. Translation of: Chronographia. Includes index. Bibliography: p. 183-186.
","Turtledove, Harry","Greek","812278429 | 812211286","English","History","8th|9th",""
"The church, the liturgy, and the soul of man","Maximus, Confessor, Saint, ca. 580-662","Book","","The church, the liturgy, and the soul of man","The church, the liturgy, and the soul of man : the Mystagogia of St. Maximus the Confessor, translated with historical notes and commentaries by Dom Julian Stead, O.S.B.","","1982","Still River, MA","St. Bede’s Publications","120 p.","","","","","Stead, Julian","Greek","","English","Theology|Mysticism","7th",""
"The emperor in Byzantine art of the 12th century","","Journal Article","","The emperor in Byzantine art of the 12th century","The emperor in Byzantine art of the 12th century","Byzantinische Forschungen 8, 123-183","1982","","","","","","","","Magdalino, Paul|Nelson, Robert","Greek","","English","Art","12th",""
"The ladder of divine ascent John Climacus ","John, Climacus, Saint, 6th cent.","Book","Scala paradisi","The ladder of divine ascent John Climacus ","The ladder of divine ascent John Climacus : translation by Colm Luibheid and Norman Russell, notes on translation by Norman Russell, introduction by Kallistos Ware, preface by Colm Luibheid","The Classics of Western spirituality","1982","New York","Paulist Press","xxviii, 301","","","","Translation of: Klimax tou Paradeisou, known as Scala Paradisi. Includes bibliographical references and indexes.
","Luibhéid, Colm|Russell, Norman","Greek","809123304 | 809103125","English","Theology","6th",""
"The Patriarch and the Prince ","Photius ca. 820-ca. 891|Boris I, Khan of Bulgaria, d. 907","Edited Book","Letter of Photios Patriarch of Constantinople to Michael Archon of Bulgaria","The Patriarch and the Prince ","The Patriarch and the Prince : the letter of Patriarch Photios of Constantinople to Khan Boris of Bulgaria","The Archbishop Iakovos library of ecclesiastical and historical sources 6","1982","Brookline, Mass.","Hellenic College Press","102","","","","[edited] by Despina Stratoudaki White and Joseph R. Berrigan. Holy Cross Orthodox Press. Boris White, Despina Stratoudaki. Berrigan, Joseph R. Translation of: Letter of Photios Patriarch of Constantinople to Michael Archon of Bulgaria. Includes index. Bibliography: p. 91-95.
","White, Despina Stratoudaki|Berrigan, Joseph R.","Greek","916586529 | 916586537","English","Letters","9th",""
"The practical and theological chapters, and, Three theological discourses","Symeon, the New Theologian, Saint, 949-1022","Book","Kephalaia praktika kai theologika","The practical and theological chapters, and, Three theological discourses : Symeon the New Theologian. Translated, with an introduction by Paul McGuckin","The practical and theological chapters, and, Three theological discourses : Symeon the New Theologian. Translated, with an introduction by Paul McGuckin","Cistercian studies series 41","1982","Kalamazoo, Mich.","Cistercian Publications","144","","","","Translation of: Kephalaia praktika kai theologika and Treis logoi theologikoi. Bibliography: p. 142-144.
","McGuckin, Paul","Greek","879078413","English","Theology","11th",""
"The unpublished saint's life of the Empress Irene (BHG 2205)","Irene, Empress of the East, 752?-803","Journal Article","","The unpublished saint's life of the Empress Irene (BHG 2205)","The unpublished saint's life of the Empress Irene (BHG 2205)","Byzantinische Forschungen 8, 237-251","1982","","","","","","","","Treadgold, Warren T.","Greek","","English","Saints lives|Women","8th",""
"Il Prato","Moschus, John, ca. 550-619","Book","","Il Prato","Il Prato","Storie e testi","1982","Napoli","M. D'Auria editore","294 p.","","","","Uniform Title: Leimōn. Italian maps ; 21 cm. Translation of: Leimōn./ Includes indexes./ Includes bibliographical references (p. 13-16). Giovanni Mosco ; presentazione, traduzione e commento di Riccardo Maisano. More Records: Show record information Book
","Maisano, Riccardo","Greek","","Italian","Saints lives","6th|7th",""
"Vita di Ipazio","Callinicus, Monk of Rufinianae, fl. 447-450|Hypatius, Saint, abbot of Rufinianae, d. 446","Book","","Vita di Ipazio","Vita di Ipazio","Collana di testi patristici","1982","Roma","Città Nuova Editrice","162 p.","","","","21 cm. Italian translation of Vios tou hosiou patros hëmön Hypatiou tou en Rouphinianais. traduzione introduzione e note a cura di Carmelo Capizzi. More Records: Show record information Book
","Capizzi, Carmelo","Greek","","Italian","Saints lives","5th",""
"Commentaire sur le Parménide de Platon ","Proclus, ca. 410-485|William, of Moerbeke, ca. 1215-1286","Book","In Parmenidem","Commentaire sur le Parménide de Platon ","Commentaire sur le Parménide de Platon : traduction de Guillaume de Moerbeke Proclus, édition critique par Carlos Steel","Ancient and medieval philosophy, 1, 3-4","1982","Leuven, Belgium Leiden","Presses universitaires de Louvain ; Brill","v.","","","","Includes indexes. Translation of: In Parmenidem. French and Latin. Spine title on v. 1-2: Procli commentarium in Parmenidem Platonis. Bibliography: v. 1, p. [ix]
","Steel, Carlos G.","Latin","9061861241","French","Philosophy","5th",""
"In difesa dei templi ","Libanius","Book","Pro templis gentilium non exscindendis","In difesa dei templi ","In difesa dei templi : a cura di Roberto Romano","","1982","Napoli","M. D'Auria","61","","","","Translation of: Pro templis. Includes index. Bibliography: p. 5-6.
","Romano, Roberto","Greek","","French","Speeches","4th",""
"Le corpus athénien de Saint Pachome ","Pachomius, Saint","Book","","Le corpus athénien de Saint Pachome ","Le corpus athénien de Saint Pachome : François Halkin, avec une traduction française par André-Jean Festugière","Cahiers d'orientalisme 2","1982","Genève","P. Cramer","165","","","","Introduction in French. Errata slips inserted. Includes bibliographical references and index.
","Halkin, François|Festugière, A. J.","Greek","","French","Saints lives","",""
"Le typikon de la Théotokos Évergétis","","Journal Article","","Le typikon de la Théotokos Évergétis","Le typikon de la Théotokos Évergétis","Revue des études byzantines 40, 5-101","1982","","","","","","","","Gautier, Paul","Greek","","French","Monasticism","12th",""
"Un décret d’Isaac II Angélos","Isaac II Angelos, Emperor of the East, 1185–95, 1203–04","Journal Article","","Un décret d’Isaac II Angélos","Un décret d’Isaac II Angélos","Revue des études byzantines 40, 135-155","1982","","","","","","","","Darrouzès, Jean","Greek","","French","Politics and government","12th",""
